Country,Thousand persons,Percentage
Albania,1061,37.1
Austria,223,2.6
Belgium,491,4.4
Bulgaria,1466,20.9
Croatia,292,7.2
Cyprus,79,9.1
Czechia,281,2.7
Denmark,151,2.6
Estonia,43,3.3
Finland,133,2.4
France,2891,4.7
Germany,2125,2.6
Greece,1707,16.2
Hungary,837,8.7
Iceland,3,1
Ireland,267,5.4
Italy,4443,7.4
Latvia,148,7.8
Lithuania,261,9.4
Luxembourg,8,1.3
Malta,18,3.6
Montenegro,75,12
Netherlands,424,2.5
North Macedonia,631,30.4
Norway,109,2
Poland,1316,3.6
Portugal,577,5.6
Romania,2829,14.5
Serbia,1010,14.6
Slovakia,423,7.9
Slovenia,53,2.6
Spain,2189,4.7
Sweden,184,1.8
Switzerland,165,2
Turkiye,21256,26.3
